1,8
2,3
4,6
5,15
7,69
7,71
9,11
10,77
12,73
13,20
14,126
16,18
17,107
19,92
21,23
22,68
24,131
25,122
26,31
27,32
27,121
28,30
28,137
29,33
29,35
30,137
32,121
33,35
34,161
36,38
36,39
37,44
37,150
38,39
40,42
43,98
44,150
45,47
46,139
48,49
50,51
52,54
53,56
55,64
57,79
59,180
60,62
61,108
63,67
65,80
69,71
70,75
74,130
76,166
78,82
81,159
84,86
85,106
90,164
91,94
91,124
94,124
99,144
99,146
101,116
102,171
104,198
105,113
111,115
112,140
114,118
114,163
118,163
119,162
123,127
128,136
141,143
144,146
152,178
156,157
156,158
157,158
